Timestamp,CPUTime,Memory,NJobs,NProcs,ArrivedJobs,CompletedJobs,cosHour,sinHour,cosDay,sinDay,cosMonth,sinMonth
2005-12-21 04:00:00,0.03,256,1,4,1,1,0.5000000000000001,0.8660254037844386,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 05:00:00,0.0,0,0,0,0,0,0.25881904510252074,0.9659258262890683,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 06:00:00,0.0,0,0,0,0,0,6.123233995736766e-17,1.0,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 07:00:00,0.0,0,0,0,0,0,-0.25881904510252063,0.9659258262890683,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 08:00:00,0.0,0,0,0,0,0,-0.4999999999999998,0.8660254037844388,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 09:00:00,0.0,0,0,0,0,0,-0.7071067811865475,0.7071067811865476,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 10:00:00,0.0,0,0,0,0,0,-0.8660254037844387,0.49999999999999994,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 11:00:00,0.0,0,0,0,0,0,-0.9659258262890682,0.258819045102521,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 12:00:00,0.0,0,0,0,0,0,-1.0,1.2246467991473532e-16,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 13:00:00,0.0,0,0,0,0,0,-0.9659258262890683,-0.2588190451025208,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 14:00:00,0.0,0,0,0,0,0,-0.8660254037844388,-0.4999999999999998,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 15:00:00,0.0,0,0,0,0,0,-0.7071067811865479,-0.7071067811865471,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 16:00:00,0.0,0,0,0,0,0,-0.5000000000000004,-0.8660254037844384,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 17:00:00,0.0,0,0,0,0,0,-0.25881904510252063,-0.9659258262890683,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 18:00:00,0.0,0,0,0,0,0,-1.8369701987210297e-16,-1.0,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 19:00:00,0.0,0,0,0,0,0,0.2588190451025203,-0.9659258262890684,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 20:00:00,0.0,0,0,0,0,0,0.5,-0.8660254037844386,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 21:00:00,0.0,0,0,0,0,0,0.7071067811865475,-0.7071067811865477,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 22:00:00,0.0,0,0,0,0,0,0.8660254037844384,-0.5000000000000004,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-21 23:00:00,0.0,0,0,0,0,0,0.9659258262890681,-0.2588190451025215,0.9852201067560606,-0.1712931441814778,1.0,-2.4492935982947064e-16
2005-12-22 00:00:00,0.0,0,0,0,0,0,1.0,0.0,0.9880226656636976,-0.15430882066428103,1.0,-2.4492935982947064e-16
2005-12-22 01:00:00,0.0,0,0,0,0,0,0.9659258262890683,0.25881904510252074,0.9880226656636976,-0.15430882066428103,1.0,-2.4492935982947064e-16
2005-12-22 02:00:00,0.0,0,0,0,0,0,0.8660254037844387,0.49999999999999994,0.9880226656636976,-0.15430882066428103,1.0,-2.4492935982947064e-16
2005-12-22 03:00:00,0.0,0,0,0,0,0,0.7071067811865476,0.7071067811865475,0.9880226656636976,-0.15430882066428103,1.0,-2.4492935982947064e-16
2005-12-22 04:00:00,0.0,0,0,0,0,0,0.5000000000000001,0.8660254037844386,0.9880226656636976,-0.15430882066428103,1.0,-2.4492935982947064e-16
2005-12-22 05:00:00,0.0,0,0,0,0,0,0.25881904510252074,0.9659258262890683,0.9880226656636976,-0.15430882066428103,1.0,-2.4492935982947064e-16
2005-12-22 06:00:00,0.0,0,0,0,0,0,6.123233995736766e-17,1.0,0.9880226656636976,-0.15430882066428103,1.0,-2.4492935982947064e-16
2005-12-22 07:00:00,0.0,0,0,0,0,0,-0.25881904510252063,0.9659258262890683,0.9880226656636976,-0.15430882066428103,1.0,-2.4492935982947064e-16
2005-12-22 08:00:00,0.0,0,0,0,0,0,-0.4999999999999998,0.8660254037844388,0.9880226656636976,-0.15430882066428103,1.0,-2.4492935982947064e-16
2005-12-22 09:00:00,0.0,0,0,0,0,0,-0.7071067811865475,0.7071067811865476,0.9880226656636976,-0.15430882066428103,1.0,-2.4492935982947064e-16
2005-12-22 10:00:00,0.0,0,0,0,0,0,-0.8660254037844387,0.49999999999999994,0.9880226656636976,-0.15430882066428103,1.0,-2.4492935982947064e-16
2005-12-22 11:00:00,0.0,0,0,0,0,0,-0.9659258262890682,0.258819045102521,0.9880226656636976,-0.15430882066428103,1.0,-2.4492935982947064e-16
2005-12-22 12:00:00,0.0,0,0,0,0,0,-1.0,1.2246467991473532e-16,0.9880226656636976,-0.15430882066428103,1.0,-2.4492935982947064e-16
